Country Code,Indicator Code,Indicator Year,Indicator Value
VEN,NY.GDP.PCAP.CD,01-Jan-15,4096.97
VEN,NY.GDP.PCAP.CD,01-Jan-16,3676.38
VEN,NY.GDP.PCAP.CD,01-Jan-17,3806.66
VEN,NY.GDP.PCAP.CD,01-Jan-18,3529.72
VEN,NY.GDP.PCAP.CD,01-Jan-19,2624.41
VEN,NY.GDP.PCAP.CD,01-Jan-20,1566.60
VEN,NY.GDP.PCAP.CD,01-Jan-21,2090.40
VEN,NY.GDP.PCAP.CD,01-Jan-22,3421.75
VEN,NY.GDP.PCAP.CD,01-Jan-23,3737.81
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-15,-6.22
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-16,-17.04
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-17,-15.67
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-18,-19.66
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-19,-27.67
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-20,-30.00
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-21,1.00
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-22,8.00
VEN,NY.GDP.MKTP.KD.ZG,01-Jan-23,4.00